Seed,Model,Dataset,Accuracy,AUC
893,LogisticRegression,Training,0.7125,0.7531249999999999
893,LogisticRegression,Test,0.65,0.6942355889724311
893,RandomForest,Training,0.8625,0.9484375
893,RandomForest,Test,0.625,0.6340852130325815
893,GradientBoosting,Training,1.0,1.0
893,GradientBoosting,Test,0.625,0.6791979949874687
893,SVC,Training,0.6375,0.684375
893,SVC,Test,0.625,0.6441102756892231
893,MLPClassifier,Training,0.6875,0.7399999999999999
893,MLPClassifier,Test,0.625,0.7268170426065164
5674,LogisticRegression,Training,0.7125,0.81
5674,LogisticRegression,Test,0.6666666666666666,0.6951871657754012
5674,RandomForest,Training,0.875,0.9540625
5674,RandomForest,Test,0.6410256410256411,0.713903743315508
5674,GradientBoosting,Training,0.75,0.863125
5674,GradientBoosting,Test,0.6153846153846154,0.6871657754010695
5674,SVC,Training,0.7125,0.754375
5674,SVC,Test,0.5641025641025641,0.6925133689839572
5674,MLPClassifier,Training,0.7375,0.808125
5674,MLPClassifier,Test,0.5897435897435898,0.6764705882352942
4507,LogisticRegression,Training,0.7375,0.815625
4507,LogisticRegression,Test,0.5,0.6063157894736841
4507,RandomForest,Training,0.85,0.9199999999999999
4507,RandomForest,Test,0.5909090909090909,0.6221052631578947
4507,GradientBoosting,Training,0.7875,0.88625
4507,GradientBoosting,Test,0.6136363636363636,0.6126315789473684
4507,SVC,Training,0.725,0.6981250000000001
4507,SVC,Test,0.6136363636363636,0.5621052631578947
4507,MLPClassifier,Training,0.725,0.8156249999999999
4507,MLPClassifier,Test,0.4772727272727273,0.608421052631579
7647,LogisticRegression,Training,0.7375,0.791875
7647,LogisticRegression,Test,0.4888888888888889,0.6728110599078341
7647,RandomForest,Training,0.8875,0.958125
7647,RandomForest,Test,0.4444444444444444,0.5587557603686636
7647,GradientBoosting,Training,0.85,0.920625
7647,GradientBoosting,Test,0.4444444444444444,0.5161290322580645
7647,SVC,Training,0.7625,0.23375
7647,SVC,Test,0.4222222222222222,0.3709677419354839
7647,MLPClassifier,Training,0.7625,0.814375
7647,MLPClassifier,Test,0.4222222222222222,0.663594470046083
8276,LogisticRegression,Training,0.725,0.774375
8276,LogisticRegression,Test,0.6666666666666666,0.7430555555555556
8276,RandomForest,Training,0.85,0.966875
8276,RandomForest,Test,0.5714285714285714,0.6597222222222222
8276,GradientBoosting,Training,0.7625,0.839375
8276,GradientBoosting,Test,0.6428571428571429,0.6909722222222222
8276,SVC,Training,0.7375,0.774375
8276,SVC,Test,0.6428571428571429,0.75
8276,MLPClassifier,Training,0.7125,0.7756250000000001
8276,MLPClassifier,Test,0.6904761904761905,0.7407407407407407
1427,LogisticRegression,Training,0.5875,0.6668750000000001
1427,LogisticRegression,Test,0.6938775510204082,0.7107023411371237
1427,RandomForest,Training,0.8375,0.916875
1427,RandomForest,Test,0.5918367346938775,0.5225752508361203
1427,GradientBoosting,Training,0.7,0.8096875
1427,GradientBoosting,Test,0.5510204081632653,0.5142140468227425
1427,SVC,Training,0.6625,0.7174999999999999
1427,SVC,Test,0.6122448979591837,0.6722408026755853
1427,MLPClassifier,Training,0.6125,0.655625
1427,MLPClassifier,Test,0.6938775510204082,0.717391304347826
7946,LogisticRegression,Training,0.675,0.7462500000000001
7946,LogisticRegression,Test,0.7209302325581395,0.7511111111111112
7946,RandomForest,Training,0.875,0.9675
7946,RandomForest,Test,0.5581395348837209,0.6488888888888888
7946,GradientBoosting,Training,1.0,1.0
7946,GradientBoosting,Test,0.5116279069767442,0.6066666666666667
7946,SVC,Training,0.675,0.759375
7946,SVC,Test,0.627906976744186,0.7000000000000001
7946,MLPClassifier,Training,0.6875,0.746875
7946,MLPClassifier,Test,0.7209302325581395,0.7622222222222222
6042,LogisticRegression,Training,0.7125,0.764375
6042,LogisticRegression,Test,0.6904761904761905,0.7139588100686498
6042,RandomForest,Training,0.8,0.90125
6042,RandomForest,Test,0.5952380952380952,0.6864988558352403
6042,GradientBoosting,Training,0.75,0.8240624999999999
6042,GradientBoosting,Test,0.5714285714285714,0.7185354691075515
6042,SVC,Training,0.725,0.7646875
6042,SVC,Test,0.6428571428571429,0.6933638443935927
6042,MLPClassifier,Training,0.725,0.7650000000000001
6042,MLPClassifier,Test,0.6666666666666666,0.7139588100686498
6799,LogisticRegression,Training,0.6125,0.74125
6799,LogisticRegression,Test,0.625,0.7272727272727272
6799,RandomForest,Training,0.7875,0.9099999999999999
6799,RandomForest,Test,0.575,0.6616161616161615
6799,GradientBoosting,Training,0.75,0.8825
6799,GradientBoosting,Test,0.6,0.6830808080808081
6799,SVC,Training,0.725,0.7843749999999999
6799,SVC,Test,0.6,0.6489898989898991
6799,MLPClassifier,Training,0.725,0.7981250000000001
6799,MLPClassifier,Test,0.6,0.6515151515151515
1026,LogisticRegression,Training,0.625,0.6699999999999999
1026,LogisticRegression,Test,0.8292682926829268,0.85
1026,RandomForest,Training,0.875,0.966875
1026,RandomForest,Test,0.7560975609756098,0.7928571428571428
1026,GradientBoosting,Training,0.6875,0.7646875
1026,GradientBoosting,Test,0.7317073170731707,0.8023809523809524
1026,SVC,Training,0.6375,0.67375
1026,SVC,Test,0.8048780487804879,0.8476190476190477
1026,MLPClassifier,Training,0.6375,0.670625
1026,MLPClassifier,Test,0.8048780487804879,0.85
2460,LogisticRegression,Training,0.65,0.745625
2460,LogisticRegression,Test,0.6363636363636364,0.7416666666666667
2460,RandomForest,Training,0.875,0.978125
2460,RandomForest,Test,0.5909090909090909,0.5291666666666667
