Seed,Model,Dataset,Accuracy,AUC
3665,MLPClassifier,Test,0.7105263157894737,0.7257617728531855
7943,LogisticRegression,Training,0.65,0.7306250000000001
7943,LogisticRegression,Test,0.7666666666666667,0.8194444444444444
7943,RandomForest,Training,0.8,0.8875000000000001
7943,RandomForest,Test,0.6333333333333333,0.7291666666666666
7943,GradientBoosting,Training,1.0,1.0
7943,GradientBoosting,Test,0.6,0.7777777777777778
7943,SVC,Training,0.675,0.2725
7943,SVC,Test,0.7333333333333333,0.24074074074074076
7943,MLPClassifier,Training,0.6875,0.7424999999999999
7943,MLPClassifier,Test,0.7333333333333333,0.8101851851851852
6865,LogisticRegression,Training,0.675,0.723125
6865,LogisticRegression,Test,0.725,0.7626666666666666
6865,RandomForest,Training,0.8875,0.9731249999999999
6865,RandomForest,Test,0.55,0.5680000000000001
6865,GradientBoosting,Training,0.9875,1.0
6865,GradientBoosting,Test,0.55,0.5493333333333335
6865,SVC,Training,0.6875,0.72875
6865,SVC,Test,0.7,0.7533333333333333
6865,MLPClassifier,Training,0.675,0.7275
6865,MLPClassifier,Test,0.725,0.76
3417,LogisticRegression,Training,0.725,0.80875
3417,LogisticRegression,Test,0.6222222222222222,0.674
3417,RandomForest,Training,0.8,0.91
3417,RandomForest,Test,0.6,0.608
3417,GradientBoosting,Training,0.9875,1.0
3417,GradientBoosting,Test,0.6,0.648
3417,SVC,Training,0.7375,0.21
3417,SVC,Test,0.5555555555555556,0.364
3417,MLPClassifier,Training,0.725,0.8131250000000001
3417,MLPClassifier,Test,0.6,0.67
7140,LogisticRegression,Training,0.675,0.73125
7140,LogisticRegression,Test,0.7906976744186046,0.78
7140,RandomForest,Training,0.8,0.889375
7140,RandomForest,Test,0.6046511627906976,0.6533333333333333
7140,GradientBoosting,Training,0.75,0.8268749999999999
7140,GradientBoosting,Test,0.6976744186046512,0.6900000000000001
7140,SVC,Training,0.6875,0.27125
7140,SVC,Test,0.6976744186046512,0.23111111111111113
7140,MLPClassifier,Training,0.6875,0.7625000000000001
7140,MLPClassifier,Test,0.7441860465116279,0.7777777777777778
2292,LogisticRegression,Training,0.7125,0.7481249999999999
2292,LogisticRegression,Test,0.7435897435897436,0.786096256684492
2292,RandomForest,Training,1.0,1.0
2292,RandomForest,Test,0.6410256410256411,0.6938502673796791
2292,GradientBoosting,Training,0.7375,0.85625
2292,GradientBoosting,Test,0.6410256410256411,0.7192513368983957
2292,SVC,Training,0.7,0.2903125
2292,SVC,Test,0.717948717948718,0.2967914438502674
2292,MLPClassifier,Training,0.675,0.750625
2292,MLPClassifier,Test,0.7435897435897436,0.7727272727272727
4783,LogisticRegression,Training,0.6875,0.7443750000000001
4783,LogisticRegression,Test,0.7560975609756098,0.7392344497607656
4783,RandomForest,Training,0.775,0.90125
4783,RandomForest,Test,0.6097560975609756,0.6830143540669856
4783,GradientBoosting,Training,0.7375,0.8215625000000001
4783,GradientBoosting,Test,0.5853658536585366,0.6136363636363636
4783,SVC,Training,0.6625,0.7409375
4783,SVC,Test,0.7317073170731707,0.7344497607655502
4783,MLPClassifier,Training,0.7,0.758125
4783,MLPClassifier,Test,0.6097560975609756,0.7344497607655502
8202,LogisticRegression,Training,0.6875,0.7325
8202,LogisticRegression,Test,0.7631578947368421,0.8194444444444444
8202,RandomForest,Training,0.9,0.9693750000000001
8202,RandomForest,Test,0.6578947368421053,0.6902777777777778
8202,GradientBoosting,Training,0.775,0.8490624999999999
8202,GradientBoosting,Test,0.6578947368421053,0.7375
8202,SVC,Training,0.6875,0.7325
8202,SVC,Test,0.7631578947368421,0.8222222222222222
8202,MLPClassifier,Training,0.7125,0.73875
8202,MLPClassifier,Test,0.7105263157894737,0.8055555555555556
1661,LogisticRegression,Training,0.675,0.743125
1661,LogisticRegression,Test,0.7619047619047619,0.7929411764705883
1661,RandomForest,Training,1.0,1.0
1661,RandomForest,Test,0.5714285714285714,0.6682352941176471
1661,GradientBoosting,Training,1.0,1.0
1661,GradientBoosting,Test,0.5238095238095238,0.6576470588235294
1661,SVC,Training,0.6375,0.74125
1661,SVC,Test,0.7142857142857143,0.7929411764705883
1661,MLPClassifier,Training,0.675,0.744375
1661,MLPClassifier,Test,0.7619047619047619,0.7929411764705883
6428,LogisticRegression,Training,0.75,0.81625
6428,LogisticRegression,Test,0.5384615384615384,0.6470588235294118
6428,RandomForest,Training,0.9,0.9650000000000001
