Seed,Model,Dataset,Accuracy,AUC
3545,RandomForest,Training,0.8947368421052632,0.9760416666666667
3545,RandomForest,Test,0.5952380952380952,0.6631944444444445
3545,GradientBoosting,Training,1.0,1.0
3545,GradientBoosting,Test,0.5952380952380952,0.6111111111111112
3545,SVC,Training,0.6973684210526315,0.7510416666666667
3545,SVC,Test,0.6904761904761905,0.7592592592592593
3545,MLPClassifier,Training,0.6973684210526315,0.7673611111111112
3545,MLPClassifier,Test,0.6904761904761905,0.7662037037037037
4442,LogisticRegression,Training,0.7105263157894737,0.7755681818181818
4442,LogisticRegression,Test,0.5238095238095238,0.7113636363636364
4442,RandomForest,Training,0.8947368421052632,0.9772727272727273
4442,RandomForest,Test,0.5238095238095238,0.6056818181818182
4442,GradientBoosting,Training,0.7763157894736842,0.9026988636363635
4442,GradientBoosting,Test,0.5714285714285714,0.6954545454545454
4442,SVC,Training,0.7368421052631579,0.7272727272727273
4442,SVC,Test,0.5714285714285714,0.55
4442,MLPClassifier,Training,0.75,0.7741477272727273
4442,MLPClassifier,Test,0.5952380952380952,0.7113636363636364
888,LogisticRegression,Training,0.6710526315789473,0.7720170454545455
888,LogisticRegression,Test,0.6666666666666666,0.8068181818181818
888,RandomForest,Training,0.868421052631579,0.94921875
888,RandomForest,Test,0.38095238095238093,0.42840909090909085
888,GradientBoosting,Training,0.7763157894736842,0.8842329545454546
888,GradientBoosting,Test,0.5476190476190477,0.6318181818181818
888,SVC,Training,0.7763157894736842,0.8132102272727273
888,SVC,Test,0.5476190476190477,0.5386363636363636
888,MLPClassifier,Training,0.8026315789473685,0.8849431818181819
888,MLPClassifier,Test,0.5,0.4727272727272727
5301,LogisticRegression,Training,0.6973684210526315,0.7844767844767844
5301,LogisticRegression,Test,0.6666666666666666,0.7082352941176471
5301,RandomForest,Training,1.0,1.0
5301,RandomForest,Test,0.5952380952380952,0.6470588235294117
5301,GradientBoosting,Training,1.0,1.0
5301,GradientBoosting,Test,0.5238095238095238,0.591764705882353
5301,SVC,Training,0.7105263157894737,0.7893277893277894
5301,SVC,Test,0.6666666666666666,0.6658823529411765
5301,MLPClassifier,Training,0.7105263157894737,0.7872487872487872
5301,MLPClassifier,Test,0.6666666666666666,0.7152941176470589
7786,LogisticRegression,Training,0.7105263157894737,0.7484407484407485
7786,LogisticRegression,Test,0.7142857142857143,0.7858823529411765
7786,RandomForest,Training,0.8552631578947368,0.9539154539154538
7786,RandomForest,Test,0.5714285714285714,0.6611764705882354
7786,GradientBoosting,Training,0.8026315789473685,0.8884268884268884
7786,GradientBoosting,Test,0.6666666666666666,0.68
7786,SVC,Training,0.6973684210526315,0.7560637560637561
7786,SVC,Test,0.6904761904761905,0.6729411764705883
7786,MLPClassifier,Training,0.7105263157894737,0.7602217602217602
7786,MLPClassifier,Test,0.7142857142857143,0.7741176470588236
7453,LogisticRegression,Training,0.6973684210526315,0.7763888888888889
7453,LogisticRegression,Test,0.6904761904761905,0.7453703703703703
7453,RandomForest,Training,1.0,1.0
7453,RandomForest,Test,0.5714285714285714,0.5405092592592593
7453,GradientBoosting,Training,1.0,1.0
7453,GradientBoosting,Test,0.5476190476190477,0.6215277777777779
7453,SVC,Training,0.6842105263157895,0.7545138888888889
7453,SVC,Test,0.6190476190476191,0.7291666666666667
7453,MLPClassifier,Training,0.6973684210526315,0.7777777777777778
7453,MLPClassifier,Test,0.7142857142857143,0.7407407407407408
2887,LogisticRegression,Training,0.618421052631579,0.7394957983193277
2887,LogisticRegression,Test,0.8095238095238095,0.8272727272727273
2887,RandomForest,Training,0.7763157894736842,0.8907563025210085
2887,RandomForest,Test,0.6190476190476191,0.6284090909090909
2887,GradientBoosting,Training,0.75,0.8511904761904762
2887,GradientBoosting,Test,0.6428571428571429,0.675
2887,SVC,Training,0.6973684210526315,0.7563025210084033
2887,SVC,Test,0.6666666666666666,0.6909090909090909
2887,MLPClassifier,Training,0.6710526315789473,0.7464985994397759
2887,MLPClassifier,Test,0.7619047619047619,0.8113636363636363
325,LogisticRegression,Training,0.6578947368421053,0.7650727650727651
325,LogisticRegression,Test,0.7380952380952381,0.745679012345679
325,RandomForest,Training,0.9342105263157895,0.9899514899514898
325,RandomForest,Test,0.6666666666666666,0.6864197530864198
325,GradientBoosting,Training,1.0,1.0
325,GradientBoosting,Test,0.6428571428571429,0.6864197530864198
325,SVC,Training,0.6710526315789473,0.7491337491337491
