Seed,Model,Dataset,Accuracy,AUC
6633,LogisticRegression,Test,0.7857142857142857,0.8729411764705882
6633,RandomForest,Training,0.8947368421052632,0.9625779625779626
6633,RandomForest,Test,0.6190476190476191,0.7223529411764706
6633,GradientBoosting,Training,0.6842105263157895,0.7813582813582813
6633,GradientBoosting,Test,0.8095238095238095,0.8329411764705883
6633,SVC,Training,0.7105263157894737,0.7550242550242551
6633,SVC,Test,0.7142857142857143,0.7317647058823529
6633,MLPClassifier,Training,0.6973684210526315,0.7498267498267499
6633,MLPClassifier,Test,0.6666666666666666,0.8
2064,LogisticRegression,Training,0.6842105263157895,0.7441860465116279
2064,LogisticRegression,Test,0.7142857142857143,0.8072562358276645
2064,RandomForest,Training,0.7894736842105263,0.8992248062015504
2064,RandomForest,Test,0.6666666666666666,0.756235827664399
2064,GradientBoosting,Training,0.8157894736842105,0.9288231148696265
2064,GradientBoosting,Test,0.6666666666666666,0.7222222222222222
2064,SVC,Training,0.6842105263157895,0.7494714587737843
2064,SVC,Test,0.6666666666666666,0.7505668934240364
2064,MLPClassifier,Training,0.6710526315789473,0.7448907681465822
2064,MLPClassifier,Test,0.7142857142857143,0.8072562358276645
7229,LogisticRegression,Training,0.7236842105263158,0.7927170868347339
7229,LogisticRegression,Test,0.6190476190476191,0.7113636363636364
7229,RandomForest,Training,0.7894736842105263,0.8991596638655462
7229,RandomForest,Test,0.6428571428571429,0.6693181818181818
7229,GradientBoosting,Training,0.75,0.8630952380952381
7229,GradientBoosting,Test,0.6428571428571429,0.7
7229,SVC,Training,0.7631578947368421,0.7633053221288515
7229,SVC,Test,0.6190476190476191,0.6840909090909091
7229,MLPClassifier,Training,0.7631578947368421,0.7941176470588236
7229,MLPClassifier,Test,0.6190476190476191,0.7113636363636364
5596,LogisticRegression,Training,0.7105263157894737,0.8224101479915433
5596,LogisticRegression,Test,0.5952380952380952,0.6575963718820862
5596,RandomForest,Training,0.9342105263157895,0.9887244538407329
5596,RandomForest,Test,0.6428571428571429,0.6405895691609977
5596,GradientBoosting,Training,0.7105263157894737,0.8365045806906272
5596,GradientBoosting,Test,0.5714285714285714,0.6666666666666666
5596,SVC,Training,0.7368421052631579,0.8047921071176884
5596,SVC,Test,0.5714285714285714,0.655328798185941
5596,MLPClassifier,Training,0.7368421052631579,0.8266384778012685
5596,MLPClassifier,Test,0.5952380952380952,0.6621315192743764
1834,LogisticRegression,Training,0.7763157894736842,0.8379928315412187
1834,LogisticRegression,Test,0.5238095238095238,0.5812356979405034
1834,RandomForest,Training,0.8157894736842105,0.9232974910394264
1834,RandomForest,Test,0.5,0.5926773455377575
1834,GradientBoosting,Training,0.8157894736842105,0.8767025089605736
1834,GradientBoosting,Test,0.5,0.5354691075514874
1834,SVC,Training,0.7894736842105263,0.8767025089605734
1834,SVC,Test,0.5238095238095238,0.4805491990846682
1834,MLPClassifier,Training,0.7631578947368421,0.8451612903225806
1834,MLPClassifier,Test,0.5238095238095238,0.5766590389016018
9562,LogisticRegression,Training,0.618421052631579,0.6902777777777778
9562,LogisticRegression,Test,0.7142857142857143,0.8912037037037037
9562,RandomForest,Training,0.7894736842105263,0.8986111111111111
9562,RandomForest,Test,0.6190476190476191,0.6886574074074074
9562,GradientBoosting,Training,1.0,1.0
9562,GradientBoosting,Test,0.5,0.6168981481481481
9562,SVC,Training,0.6447368421052632,0.711111111111111
9562,SVC,Test,0.7380952380952381,0.8032407407407408
9562,MLPClassifier,Training,0.6447368421052632,0.7138888888888889
9562,MLPClassifier,Test,0.7380952380952381,0.8819444444444444
5758,LogisticRegression,Training,0.7368421052631579,0.7844767844767845
5758,LogisticRegression,Test,0.6666666666666666,0.7082352941176471
5758,RandomForest,Training,0.7894736842105263,0.9258489258489259
5758,RandomForest,Test,0.5952380952380952,0.6105882352941177
5758,GradientBoosting,Training,0.8026315789473685,0.9203049203049203
5758,GradientBoosting,Test,0.5476190476190477,0.5576470588235294
5758,SVC,Training,0.7368421052631579,0.7893277893277892
5758,SVC,Test,0.6666666666666666,0.6376470588235295
5758,MLPClassifier,Training,0.868421052631579,0.9313929313929313
5758,MLPClassifier,Test,0.5714285714285714,0.5176470588235295
5456,LogisticRegression,Training,0.6842105263157895,0.778397212543554
5456,LogisticRegression,Test,0.6428571428571429,0.7345537757437071
5456,RandomForest,Training,0.8026315789473685,0.9149825783972126
5456,RandomForest,Test,0.5952380952380952,0.7231121281464532
5456,GradientBoosting,Training,0.9078947368421053,0.9818815331010453
5456,GradientBoosting,Test,0.6428571428571429,0.7048054919908466
5456,SVC,Training,0.7236842105263158,0.751219512195122
